"ID","BasePeriodID","Species","StockID","Age","FisheryID","TimeStep","Catch","Adjusted"
44074.95,3,1,1,4,15,1,153.27,
44074.95,3,1,4,3,2,2,10.66,
44074.95,3,1,4,3,2,3,6.63,
44074.95,3,1,7,4,45,1,8.23,
44074.95,3,1,7,4,53,1,41.11,
44074.95,3,1,11,3,2,3,5.62,
44074.95,3,1,11,3,8,2,2.48,
44074.95,3,1,16,4,56,3,26.22,
44074.95,3,1,20,3,10,3,193.60,
44074.95,3,1,20,3,11,3,81.45,
44074.95,3,1,39,5,30,3,12.95,
