"ID","FishingYear","FishScalar","TimeStep","FisheryID","CalibrationID"
16099,1998,0.00,1,38,
16100,1998,0.00,2,38,
16101,1998,1.20,3,38,
16102,1998,0.60,1,39,
16103,1998,0.00,2,39,
16104,1998,1.11,3,39,
16105,1998,0.61,1,40,
16106,1998,0.00,2,40,
16107,1998,0.55,3,40,
16108,1998,2.83,1,41,
16109,1998,0.24,2,41,
16110,1998,1.25,3,41,
16111,1998,1.35,1,42,
16112,1998,0.00,2,42,
16113,1998,0.00,3,42,
16114,1998,0.00,1,43,
16115,1998,0.00,2,43,
16116,1998,0.00,3,43,
16117,1998,21.73,1,44,
16118,1998,0.00,2,44,
16119,1998,1.02,3,44,
16120,1998,1.87,1,45,
16121,1998,0.00,2,45,
16122,1998,0.00,3,45,
16123,1998,0.00,1,46,
16124,1998,0.00,2,46,
16125,1998,0.00,3,46,
16126,1998,0.00,1,47,
16127,1998,0.00,2,47,
16128,1998,0.00,3,47,
16129,1998,0.00,1,48,
16130,1998,0.00,2,48,
16131,1998,0.00,3,48,
16132,1998,0.00,1,49,
16133,1998,0.00,2,49,
16134,1998,0.00,3,49,
16135,1998,0.00,1,50,
16136,1998,0.00,2,50,
16137,1998,3.07,3,50,
16138,1998,0.00,1,51,
16139,1998,0.00,2,51,
16140,1998,0.00,3,51,
16141,1998,0.16,1,52,
16142,1998,0.00,2,52,
16143,1998,2.38,3,52,
16144,1998,4.18,1,53,
16145,1998,0.18,2,53,
16146,1998,0.13,3,53,
16147,1998,0.85,1,54,
16148,1998,0.00,2,54,
16149,1998,0.00,3,54,
16150,1998,0.00,1,55,
16151,1998,0.00,2,55,
16152,1998,0.00,3,55,
16153,1998,3.21,1,56,
16154,1998,0.00,2,56,
16155,1998,0.20,3,56,
16156,1998,4.30,1,57,
16157,1998,1.70,2,57,
16158,1998,1.75,3,57,
16159,1998,6.04,1,58,
16160,1998,0.00,2,58,
16161,1998,0.00,3,58,
16162,1998,0.02,1,59,
16163,1998,0.00,2,59,
16164,1998,52.97,3,59,
16165,1998,0.00,1,60,
16166,1998,0.00,2,60,
16167,1998,0.00,3,60,
16168,1998,0.27,1,61,
16169,1998,0.00,2,61,
16170,1998,3.62,3,61,
16171,1998,0.00,1,62,
16172,1998,0.00,2,62,
16173,1998,0.00,3,62,
16174,1998,104.81,1,63,
16175,1998,0.00,2,63,
16176,1998,1.07,3,63,
16177,1998,0.58,1,64,
16178,1998,0.00,2,64,
16179,1998,0.58,3,64,
16180,1998,0.00,1,65,
16181,1998,0.00,2,65,
16182,1998,0.01,3,65,
16183,1998,0.00,1,66,
16184,1998,0.00,2,66,
16185,1998,0.06,3,66,
16186,1998,4.31,1,67,
16187,1998,1.55,2,67,
16188,1998,3.60,3,67,
16189,1998,0.00,1,68,
16190,1998,0.00,2,68,
16191,1998,0.00,3,68,
16192,1998,0.05,1,69,
16193,1998,0.00,2,69,
16194,1998,0.40,3,69,
16195,1998,0.00,1,70,
16196,1998,0.00,2,70,
16197,1998,0.00,3,70,
16198,1998,0.00,1,71,
16199,1998,0.00,2,71,
16200,1998,0.19,3,71,
16201,1998,0.00,1,72,
16202,1998,0.00,2,72,
16203,1998,0.00,3,72,
16204,1998,0.00,1,73,
16205,1998,0.00,2,73,
16206,1998,0.00,3,73,
16207,1999,0.83,1,1,
16208,1999,0.67,2,1,
16209,1999,2.02,3,1,
16210,1999,0.00,1,2,
16211,1999,0.90,2,2,
16212,1999,1.43,3,2,
16213,1999,0.00,1,3,
16214,1999,1.44,2,3,
16215,1999,1.05,3,3,
16216,1999,0.00,1,4,
16217,1999,34.29,2,4,
16218,1999,5.63,3,4,
16219,1999,1.38,1,5,
16220,1999,0.01,2,5,
16221,1999,1.8e-03,3,5,
16222,1999,0.10,1,6,
16223,1999,6.05,2,6,
16224,1999,2.51,3,6,
16225,1999,0.00,1,7,
16226,1999,0.00,2,7,
16227,1999,2.79,3,7,
16228,1999,0.69,1,8,
16229,1999,0.93,2,8,
16230,1999,0.87,3,8,
16231,1999,0.00,1,9,
16232,1999,0.00,2,9,
16233,1999,3.67,3,9,
16234,1999,1.06,1,10,
16235,1999,0.00,2,10,
16236,1999,0.01,3,10,
16237,1999,1.03,1,11,
16238,1999,1.01,2,11,
16239,1999,0.79,3,11,
16240,1999,83.06,1,12,
16241,1999,24.48,2,12,
16242,1999,13.72,3,12,
16243,1999,0.91,1,13,
16244,1999,0.57,2,13,
16245,1999,0.54,3,13,
16246,1999,0.37,1,14,
16247,1999,1.67,2,14,
16248,1999,0.79,3,14,
16249,1999,0.46,1,15,
16250,1999,1.15,2,15,
16251,1999,0.41,3,15,
16252,1999,0.00,1,16,
16253,1999,1.54,2,16,
16254,1999,1.22,3,16,
16255,1999,0.19,1,17,
16256,1999,1.35,2,17,
16257,1999,0.79,3,17,
16258,1999,0.00,1,18,
16259,1999,0.00,2,18,
16260,1999,0.31,3,18,
16261,1999,0.00,1,19,
16262,1999,0.00,2,19,
16263,1999,0.00,3,19,
16264,1999,0.00,1,20,
16265,1999,0.59,2,20,
16266,1999,0.61,3,20,
16267,1999,0.00,1,21,
16268,1999,0.89,2,21,
16269,1999,0.04,3,21,
16270,1999,0.00,1,22,
16271,1999,0.00,2,22,
16272,1999,1.00,3,22,
16273,1999,0.00,1,23,
16274,1999,0.00,2,23,
16275,1999,0.05,3,23,
16276,1999,0.00,1,24,
16277,1999,0.00,2,24,
16278,1999,0.29,3,24,
16279,1999,0.00,1,25,
16280,1999,0.00,2,25,
16281,1999,0.10,3,25,
16282,1999,0.00,1,26,
16283,1999,3.8e-03,2,26,
16284,1999,0.00,3,26,
16285,1999,0.00,1,27,
16286,1999,0.00,2,27,
16287,1999,1.03,3,27,
16288,1999,0.00,1,28,
16289,1999,0.00,2,28,
16290,1999,0.00,3,28,
16291,1999,0.00,1,29,
16292,1999,0.00,2,29,
16293,1999,0.00,3,29,
16294,1999,0.73,1,30,
16295,1999,2.32,2,30,
16296,1999,1.45,3,30,
16297,1999,0.63,1,31,
16298,1999,0.70,2,31,
16299,1999,0.28,3,31,
16300,1999,0.00,1,32,
16301,1999,1.8e-03,2,32,
16302,1999,0.78,3,32,
16303,1999,0.00,1,33,
16304,1999,0.23,2,33,
16305,1999,0.38,3,33,
16306,1999,0.00,1,34,
16307,1999,1.87,2,34,
16308,1999,0.87,3,34,
16309,1999,0.21,1,35,
16310,1999,0.28,2,35,
16311,1999,0.57,3,35,
16312,1999,0.36,1,36,
16313,1999,0.00,2,36,
16314,1999,0.34,3,36,
16315,1999,0.00,1,37,
16316,1999,0.00,2,37,
16317,1999,0.21,3,37,
16318,1999,1.18,1,38,
16319,1999,0.00,2,38,
16320,1999,1.1e-03,3,38,
16321,1999,21.14,1,39,
16322,1999,0.00,2,39,
16323,1999,0.89,3,39,
16324,1999,1.26,1,40,
16325,1999,0.00,2,40,
16326,1999,1.18,3,40,
16327,1999,0.63,1,41,
16328,1999,0.10,2,41,
16329,1999,0.90,3,41,
16330,1999,0.00,1,42,
16331,1999,0.00,2,42,
16332,1999,0.00,3,42,
16333,1999,0.00,1,43,
16334,1999,0.00,2,43,
16335,1999,0.00,3,43,
16336,1999,0.66,1,44,
16337,1999,0.00,2,44,
16338,1999,0.64,3,44,
16339,1999,0.67,1,45,
16340,1999,0.00,2,45,
16341,1999,0.00,3,45,
16342,1999,0.00,1,46,
16343,1999,0.00,2,46,
16344,1999,0.00,3,46,
16345,1999,0.00,1,47,
16346,1999,0.00,2,47,
16347,1999,0.70,3,47,
16348,1999,0.00,1,48,
16349,1999,0.00,2,48,
16350,1999,0.74,3,48,
16351,1999,0.00,1,49,
16352,1999,0.00,2,49,
16353,1999,0.03,3,49,
16354,1999,0.00,1,50,
16355,1999,0.00,2,50,
16356,1999,0.52,3,50,
16357,1999,0.00,1,51,
16358,1999,0.00,2,51,
16359,1999,1.0e-04,3,51,
16360,1999,1.11,1,52,
16361,1999,0.00,2,52,
16362,1999,2.24,3,52,
16363,1999,1.89,1,53,
16364,1999,2.51,2,53,
16365,1999,0.29,3,53,
16366,1999,1.29,1,54,
16367,1999,0.00,2,54,
16368,1999,0.00,3,54,
16369,1999,0.00,1,55,
16370,1999,0.00,2,55,
16371,1999,0.00,3,55,
16372,1999,1.65,1,56,
16373,1999,0.00,2,56,
16374,1999,0.25,3,56,
16375,1999,2.33,1,57,
16376,1999,0.83,2,57,
16377,1999,1.90,3,57,
16378,1999,0.98,1,58,
16379,1999,0.00,2,58,
16380,1999,0.00,3,58,
16381,1999,1.26,1,59,
16382,1999,0.00,2,59,
16383,1999,2.45,3,59,
16384,1999,0.00,1,60,
16385,1999,0.00,2,60,
16386,1999,0.00,3,60,
16387,1999,1.30,1,61,
16388,1999,0.00,2,61,
16389,1999,1.06,3,61,
16390,1999,0.00,1,62,
16391,1999,0.00,2,62,
16392,1999,1.61,3,62,
16393,1999,20.86,1,63,
16394,1999,0.00,2,63,
16395,1999,1.65,3,63,
16396,1999,2.30,1,64,
16397,1999,183.67,2,64,
16398,1999,0.56,3,64,
16399,1999,0.00,1,65,
16400,1999,0.00,2,65,
16401,1999,7.7e-03,3,65,
16402,1999,0.00,1,66,
16403,1999,0.00,2,66,
16404,1999,0.25,3,66,
16405,1999,2.61,1,67,
16406,1999,0.97,2,67,
16407,1999,1.41,3,67,
16408,1999,0.00,1,68,
16409,1999,0.00,2,68,
16410,1999,0.00,3,68,
16411,1999,0.38,1,69,
16412,1999,0.00,2,69,
16413,1999,0.46,3,69,
16414,1999,0.00,1,70,
16415,1999,0.00,2,70,
16416,1999,0.00,3,70,
16417,1999,0.00,1,71,
16418,1999,0.00,2,71,
16419,1999,1.72,3,71,
16420,1999,0.00,1,72,
16421,1999,0.00,2,72,
16422,1999,0.00,3,72,
16423,1999,0.00,1,73,
16424,1999,0.00,2,73,
16425,1999,0.00,3,73,
16426,2000,1.78,1,1,
16427,2000,0.99,2,1,
16428,2000,2.10,3,1,
16429,2000,0.00,1,2,
16430,2000,2.23,2,2,
16431,2000,1.82,3,2,
16432,2000,0.00,1,3,
16433,2000,1.38,2,3,
16434,2000,1.72,3,3,
16435,2000,0.00,1,4,
16436,2000,39.95,2,4,
16437,2000,25.85,3,4,
16438,2000,0.85,1,5,
16439,2000,0.86,2,5,
16440,2000,0.01,3,5,
16441,2000,0.00,1,6,
16442,2000,6.36,2,6,
16443,2000,1.83,3,6,
16444,2000,0.00,1,7,
16445,2000,0.00,2,7,
16446,2000,1.01,3,7,
16447,2000,1.68,1,8,
16448,2000,0.89,2,8,
16449,2000,0.76,3,8,
16450,2000,0.00,1,9,
16451,2000,0.00,2,9,
16452,2000,0.88,3,9,
16453,2000,6.75,1,10,
16454,2000,0.20,2,10,
16455,2000,0.09,3,10,
16456,2000,0.26,1,11,
16457,2000,2.51,2,11,
16458,2000,0.54,3,11,
16459,2000,14.92,1,12,
16460,2000,37.12,2,12,
16461,2000,19.94,3,12,
16462,2000,0.64,1,13,
16463,2000,0.69,2,13,
16464,2000,0.71,3,13,
16465,2000,0.73,1,14,
16466,2000,0.23,2,14,
16467,2000,0.94,3,14,
16468,2000,0.55,1,15,
16469,2000,0.82,2,15,
16470,2000,0.53,3,15,
